created_at,full_text,tweet_url,text_clean
Wed Jun 04 20:33:38 +0000 2025,@es_vau @Dosen_Genosse Ja,https://x.com/undefined/status/1930362327901372649,vau Genosse Ja
Wed Jun 04 20:33:18 +0000 2025,@papilionidaety @yappingfess tergantung dosen ada yg cuek masuk tinggal masuk yg penting ilmunya tersampaikan ada yg bener bener tegas gaboleh telat trs bisa dilarang masuk kelas atau kena hukuman (gue pernah kena hukuman nyanyi depan kelas),https://x.com/undefined/status/1930362245818790091,  tergantung dosen ada yg cuek masuk tinggal masuk yg penting ilmunya tersampaikan ada yg bener bener tegas gaboleh telat trs bisa dilarang masuk kelas atau kena hukuman gue pernah kena hukuman nyanyi depan kelas
Wed Jun 04 20:29:07 +0000 2025,Kenapa ya yang ngeselin harus dosen hukum pidana padahal itu matkul inti gua anjing ni org mumeknya ketara banget dichat sama mahasiswi ramah dan fast respon dichat mahasiswa anying kesan ketusnya dapet banget mana kalo lagi parahnya sampe ga dibales padahal ini soal tugas.,https://x.com/undefined/status/1930361194537431354,Kenapa ya yang ngeselin harus dosen hukum pidana padahal itu matkul inti gua anjing ni org mumeknya ketara banget dichat sama mahasiswi ramah dan fast respon dichat mahasiswa anying kesan ketusnya dapet banget mana kalo lagi parahnya sampe ga dibales padahal ini soal tugas
Wed Jun 04 20:25:15 +0000 2025,@Sxne19iv2 Beef Cherki dosen t have the facilities for that https://t.co/tJYLj5Lg5N,https://x.com/undefined/status/1930360218346520770, Beef Cherki dosen t have the facilities for that 
Wed Jun 04 20:24:57 +0000 2025,@keisokeiii menurut aku sih ngga yaselagi ga ditegur dosen gas aja gasihhh,https://x.com/undefined/status/1930360143109337239, menurut aku sih ngga yaselagi ga ditegur dosen gas aja gasihhh
Wed Jun 04 20:24:37 +0000 2025,Cardi B is #2. Just because doja releases more dosen't mean shes bigger. Still haven't accomplished the things Cardi has. And Cardi is really bigger than Nicki but that's for another day.,https://x.com/undefined/status/1930360060158587129,Cardi B is  Just because doja releases more dosent mean shes bigger Still havent accomplished the things Cardi has And Cardi is really bigger than Nicki but thats for another day
Wed Jun 04 20:24:18 +0000 2025,Kaget pas buka pintu kok kek bau kambing eh lupa besok idul adha . Kejam kali ya dosen gw yg onoh....,https://x.com/undefined/status/1930359980764606557,Kaget pas buka pintu kok kek bau kambing eh lupa besok idul adha  Kejam kali ya dosen gw yg onoh
Wed Jun 04 20:23:02 +0000 2025,@charIesrry Yea from what I see/heard the car is specially bad this year so it dosen't help either,https://x.com/undefined/status/1930359664056627488, Yea from what I seeheard the car is specially bad this year so it dosent help either
Wed Jun 04 20:20:47 +0000 2025,@RepJerryNadler This ship was just recently named this by the Biden administration in 2023 AMERICA dosen't Gaf !!! https://t.co/2n3dgeDm2E,https://x.com/undefined/status/1930359096462717332, This ship was just recently named this by the Biden administration in  AMERICA dosent Gaf  
Wed Jun 04 20:20:13 +0000 2025,@fusselprinzess Homöopathie als Thema oder war die Spannung nur in homöopathischen Dosen vorhanden?,https://x.com/undefined/status/1930358954111950935, Homopathie als Thema oder war die Spannung nur in homopathischen Dosen vorhanden
